# CV_Value(nm) Mean_Force(kcal/mol/nm) Std_Force(kcal/mol/nm) Mean_Free_Energy(kcal/mol) Std_Free_Energy(kcal/mol)
1.600000000000000089e+00 3.818611181249995923e+01 6.832127317773185382e+00 2.661644555208311225e+00 2.681012439731549346e+00
2.100000000000000089e+00 -1.877533782500004733e+01 6.386590445349741962e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.600000000000000089e+00 -2.315161286250004480e+01 4.785542180203769647e+00 1.267278661354168889e+01 2.383221453230194964e+00
3.100000000000000089e+00 -4.929733407500005171e+01 7.827804312190595581e+00 3.376372700208338529e+01 4.196540050328372295e+00
3.600000000000000089e+00 -3.954167587500043712e+00 5.049491358265827401e+00 5.005530607187505865e+01 6.319082611462400578e+00
4.099999999999999645e+00 -1.583920312499981797e+01 1.018210608976514564e+01 5.616042630625001664e+01 4.556008968564303707e+00
4.599999999999999645e+00 3.842268750017778511e-02 4.220317210442620315e+00 6.126739897187491124e+01 4.769436120350606600e+00
5.099999999999999645e+00 6.463328250001766362e-01 4.666821519648985728e+00 6.103041114583315618e+01 5.123310711180136146e+00
5.599999999999999645e+00 -3.249317874998217670e-01 1.169664169726597258e+00 6.088426193854140678e+01 5.595303011136445903e+00
6.099999999999999645e+00 -5.053420124998221352e-01 1.583278593038985438e+00 6.111481836666631295e+01 5.730943357225150692e+00
6.599999999999999645e+00 -1.340407624998224967e-01 9.430835313574280621e-01 6.129765203854123001e+01 5.830262177879316887e+00
