trial,kernel,lengthscale1,lengthscale2,noise,rmsd_0,rmsd_40,totalrmsd,blind_fes_rmsd,blind_grad_rmsd
0,RBF,19.24032876338245,3.5276090447529227,0.9998938340991034,4.4519784493368135,2.214226298624548,6.666204747961361,22.537760322107705,8.528374623090976
1,RBF,5.181278695874184,1.8691761344238844,0.7918727921675497,4.110680387954755,3.4503992080023735,7.561079595957128,42.40669638498495,9.631434992394741
2,RBF,19.932658776692843,1.6501001911739812,0.30923566385881973,2.304949225872987,3.3470503469930164,5.6519995728660035,21.47349619724539,8.198791212798207
3,RBF,8.295620192880403,1.6705444894694463,0.4931318024668121,2.626404474857537,4.483954827827545,7.110359302685081,29.612674566431785,8.445569365669536
4,RBF,14.483379689174422,4.510697909564531,0.6272923513581765,5.165975722841357,3.114027910319324,8.280003633160682,21.391621005190117,8.533628822906271
5,RBF,5.698581533288958,3.391852156627669,0.6493832858505102,4.952509096904839,4.155076634311379,9.107585731216219,46.057201440146684,10.380133574010111
6,RBF,11.308637657480686,4.477893258105014,0.8742236396520344,6.271373078087844,3.122339230889177,9.39371230897702,23.388727057826934,8.700381588989654
7,RBF,6.814239209042837,3.1927319095304583,0.7441910883569242,4.640871005687594,4.18666889324652,8.827539898934115,38.1699868169348,9.492185327096003
8,RBF,19.43812364751109,4.47847904441173,0.9539406890886245,4.968105253036754,2.3199611025056326,7.288066355542386,23.06988683187753,8.649225669386684
9,RBF,13.202284143233094,3.111773405826213,0.3821466035183807,3.8984956038302436,4.212582705925018,8.111078309755262,21.23326654969214,8.893483842298387
10,RBF,10.234605510361082,4.055374567003225,0.8753761228178905,5.960590139698791,3.3606621553737557,9.321252295072547,24.745671433182416,8.669331759584875
11,RBF,11.158936458369189,3.813210444286756,0.5997415088830715,4.951177920987579,3.8584110556911613,8.80958897667874,23.087203930826544,8.526747495115849
12,RBF,17.15623003530428,3.1365141992447523,0.8892913432400911,4.301863405193165,2.388236994564881,6.690100399758046,21.699294361215305,8.497776164177193
13,RBF,5.402246736331007,2.0708702314457788,0.6995000497279085,3.956144005596121,3.7658079500172894,7.72195195561341,43.01755765070132,9.728818179275075
14,RBF,3.7176974117941346,0.7017125696070685,0.5334639286100017,4.512645423533311,2.4882282374727627,7.000873661006073,41.23640188707579,9.805543284251693
15,RBF,11.58077665898724,4.71295395965317,0.5274072180025845,5.241901175354672,3.877385921706736,9.119287097061408,23.42573535566165,8.581085500185948
16,RBF,14.998277538275865,4.977708304394621,0.9333314793687741,6.139816777573699,2.6093971521309722,8.749213929704672,22.542261857343696,8.76276427359578
17,RBF,1.038442179287106,4.85952529682352,0.9112385413589791,8.941551406811652,3.9526605163861928,12.894211923197844,73.69691836085414,14.735883117637876
18,RBF,14.29028351850661,0.5778708758848389,0.6587432311347211,4.277300825539756,1.4639464075748916,5.741247233114647,20.606392281272143,7.667052826188076
19,RBF,16.58070521027182,2.848366148163413,0.4806099685763533,3.5278545499668192,3.3652107367549893,6.893065286721809,21.130795998169585,8.749103722760731
20,RBF,11.326495365783241,4.409986549389393,0.2912772518977493,4.033214044395867,5.006780243077033,9.0399942874729,24.757470629469854,8.866635488992229
21,RBF,1.5973373034290645,4.768769295827879,0.4309947794880574,6.834764817174053,2.5290227035368966,9.36378752071095,62.49629775535992,13.702063745262917
22,RBF,9.397034246815469,1.3692055080810153,0.6775131549816874,3.3936954929298104,3.4425950895298674,6.836290582459678,23.734173800579683,7.8837192043877495
23,RBF,13.450434873568884,1.4509077571642448,0.8863779663512956,3.855897417433976,2.1192436747938332,5.975141092227809,20.231310111618892,7.955373896748905
24,RBF,17.88575878129312,1.4967968962200573,0.7276483352872826,2.9868906905531256,2.2365369782921145,5.22342766884524,21.448054387349163,8.074577846821532
25,RBF,19.47028492796965,4.004683151526104,0.3435715209414209,3.4407363395800257,3.6585745820354556,7.099310921615482,21.672668261514975,8.784837006480476
26,RBF,15.90878657986539,4.853626654021008,0.4902494151885769,4.724285777177599,3.3058019714038465,8.030087748581446,21.365088900910855,8.567021171932858
27,RBF,2.6698352304418065,1.784783776273727,0.6568877165528835,5.54442096399397,3.09498098174434,8.63940194573831,43.92359770519873,11.128346591121351
28,RBF,4.144740966746068,3.1949181003802467,0.25245242823907693,4.703158213932401,4.342514902026521,9.045673115958921,55.28760774501853,11.332249778045679
29,RBF,18.34460963289468,0.5344044982110974,0.3595101426414618,2.860165600883778,2.004736710408866,4.864902311292644,21.112444005234188,7.571426093445967
30,RBF,9.967101261066764,2.2608861829689153,0.8124411413509077,4.405139520362103,3.442795063397129,7.847934583759232,22.917856032579266,8.346130061939666
31,RBF,1.2421271396704832,3.4352485244375517,0.42048211193883056,5.419626160860155,2.0396388339754705,7.459264994835625,70.66399446168323,14.371236910138277
32,RBF,12.475616603898988,2.7752669463177244,0.3678318484406263,3.6532506789021304,4.3863332950990435,8.039583974001173,21.692701856761314,8.905464671309556
33,RBF,3.5863323199215427,3.868896808373241,0.579667402068407,6.618309727864674,3.9473485601140377,10.565658287978712,54.36912448340797,11.886359590042042
34,RBF,10.863150206208399,4.726545924416646,0.7148202895270701,5.918952011982689,3.521425783805204,9.440377795787892,24.497912464498782,8.718896234580232
35,RBF,9.3267570820014,2.3725597672681307,0.3990651630631491,2.986656349489865,4.95335028882493,7.940006638314795,27.61136482320991,8.834781541437385
36,RBF,5.878428020728073,0.21267091709421643,0.9459240696149638,11.967458111409062,4.212218799300313,16.179676910709375,35.78596784499163,9.131017569718926
37,RBF,8.452921120356743,3.2766081285684616,0.4853916206078619,3.790385843958309,4.87451528355857,8.66490112751688,31.63691746026597,8.994540511063462
38,RBF,3.098367566283234,2.2979351831444705,0.5751390691695577,5.474336641914289,3.6793324622632806,9.15366910417757,48.68453387100284,11.08543261960727
39,RBF,2.104771565985228,4.10135814247682,0.4314730033592469,6.647909462752054,2.9199078115735055,9.56781727432556,47.2525435637856,12.232567875050268
40,RBF,13.370735623670766,0.8531575244126267,0.6226168589989761,3.665255371408171,2.2730273419340437,5.938282713342215,20.44564604749374,7.580691409636477
41,RBF,13.960821481500101,3.5878181055259635,0.7940933465118973,5.057617476469943,2.8517151877230646,7.909332664193007,21.04738131260588,8.476655048138033
42,RBF,11.995952993237811,1.964448688659295,0.8120396966003671,4.193052600657731,2.8328826809687495,7.025935281626481,20.47168760795137,8.249226615022698
43,RBF,1.973488318685196,4.570447912404011,0.5496344045544621,7.584866080658309,2.847675810943883,10.432541891602192,49.873735398625556,12.656429462596998
44,RBF,13.083078105021059,4.124961888740237,0.3409681708609673,4.2832566212885546,4.388444583569664,8.67170120485822,21.71562943748088,8.795411140246467
45,RBF,11.484038482625172,2.78719236710812,0.9362624635182549,5.153905457007973,2.8919645154056277,8.0458699724136,21.201689902397767,8.370921957229452
46,RBF,16.83245105322918,3.3340931973142407,0.7517589579907288,4.2346544742230865,2.6820963096052672,6.916750783828354,21.496715104114294,8.53231179978471
47,RBF,6.438669465376915,4.519157502669006,0.24417908009747588,4.2393809479833635,4.800919402818492,9.040300350801855,49.18277253821338,10.800331237633214
48,RBF,9.000826542788944,3.955788374110948,0.9418270785186774,5.970726284007794,3.5424778628923668,9.513204146900161,28.052919239543197,8.903348775194718
49,RBF,3.9913740105452113,2.837063032826441,0.5609374055558386,5.361680683990087,4.040266466181162,9.40194715017125,51.77619106127884,11.034007951767679
50,RBF,17.905634979588907,0.5225381414584153,0.28665108312785903,2.597774758157586,2.3097250033155325,4.907499761473119,20.70991543545461,7.579799306629511
51,RBF,18.12845671514915,0.25172646555277123,0.3269163804982001,3.924359799682051,2.1571488184566783,6.081508618138729,22.804594257967036,8.213869942373721
52,RBF,18.207083771268884,1.0753834332158607,0.683226691242091,3.0337083740070505,2.1622299708198236,5.1959383448268746,21.608948741165463,7.853883029853388
53,RBF,19.875044549270946,1.2848214579058617,0.22162334082199464,2.235752636299156,3.622727260128469,5.858479896427625,21.32132952310181,7.951941133929081
54,RBF,19.500549353026997,0.9452036861689684,0.628756840889492,3.04304433035898,2.1899815945495327,5.233025924908512,21.914766703019183,7.811037628520516
55,RBF,19.898277837173403,0.9679182213680136,0.7316571298284675,3.186900818138292,1.9779181607526237,5.164818978890915,22.05750704430456,7.832549561785373
56,RBF,19.723789531572933,0.9973270130594173,0.5598089552612935,2.834934756585896,2.4133455738962613,5.2482803304821575,21.85820070672915,7.8284083278894885
57,RBF,19.0662312147628,0.5029959804754272,0.823847085463404,4.750600934607307,1.3103525458382779,6.060953480445584,22.277031305689583,7.616043685630036
